CUSTID,GENDER,DOB,EDATE,AGE,AGEGRP1,AGEGRP2,TV_REG,NGROUP,NEIGHBORHOOD,LCDATE,ORGANICS,BILL,REGION,CLASS,ORGYN,AFFL,LTIME
0000121312,F,1937-02-17,1998-02-23,61,60-80,60-70,Midlands,C,19,1993-09-29,0,0.009999999999999998,Midlands,Tin,0,5,5
0000121495,,1953-02-01,1998-02-23,45,40-60,40-50,London,B,14,1987-04-30,0,600,South East,Silver,0,5,11
0000124710,F,1931-06-09,1998-02-23,66,60-80,60-70,London,A,01,1993-06-10,0,2000,South East,Silver,0,11,5
0000126098,U,1946-03-11,1998-02-23,51,40-60,50-60,Yorkshire,C,24,1993-08-25,0,10000,North,Gold,0,2,5
0000126586,F,1920-08-03,1998-02-23,,,,Midlands,C,18,1997-11-06,0,15000,Midlands,Gold,0,3,1
0000127892,,1938-01-31,1998-02-23,60,60-80,60-70,N West,B,12,1990-02-01,0,1020,North,Silver,0,10,9
0000129283,M,1950-02-07,1998-02-23,48,40-60,40-50,East,C,19,1996-04-03,0,3000,Midlands,Silver,0,9,2
0000129410,F,1944-05-02,1998-02-23,53,40-60,50-60,S & S East,C,24,1997-07-01,0,100,South East,Silver,0,8,1
0000134872,U,1925-10-22,1998-02-23,72,60-80,70-80,Midlands,E,45,1990-10-19,1,12000,Midlands,Gold,1,10,8
0000140597,F,1929-04-10,1998-02-23,68,60-80,60-70,London,E,41,1991-03-01,0,0.009999999999999998,South East,Tin,0,9,7
0000144649,F,1950-09-16,1998-02-23,47,40-60,40-50,N Scot,A,01,1993-12-10,0,0.009999999999999998,Scottish,Tin,0,8,5
0000145157,F,1958-08-01,1998-02-23,39,20-40,30-40,London,E,40,1997-08-13,1,2800,South East,Silver,1,11,1
0000146730,F,1925-10-07,1998-02-23,72,60-80,70-80,London,A,04,1990-06-01,0,0.009999999999999998,South East,Tin,0,12,8
0000148415,M,1930-05-27,1998-02-23,67,60-80,60-70,London,E,40,1994-05-19,0,6000,South East,Gold,0,10,4
0000148849,F,1937-12-02,1998-02-23,60,60-80,60-70,London,C,25,1990-06-01,0,0.009999999999999998,South East,Tin,0,9,8
0000151432,M,1932-11-19,1998-02-23,,,,Yorkshire,D,30,1995-12-28,0,9000,North,Gold,0,6,3
0000154040,M,1945-07-16,1998-02-23,52,40-60,50-60,N West,F,52,1990-01-01,0,0.009999999999999998,North,Tin,0,11,9
0000156515,F,1942-07-23,1998-02-23,55,40-60,50-60,Midlands,D,27,1990-07-01,0,0.009999999999999998,Midlands,Tin,0,7,8
0000158216,M,1932-06-02,1998-02-23,65,60-80,60-70,S & S East,,,1992-04-01,0,6053.349999999999,South East,Gold,0,14,6
0000159522,M,1956-07-23,1998-02-23,41,40-60,40-50,London,B,12,1991-06-01,1,0.009999999999999998,South East,Tin,1,13,7
0000162485,F,1963-03-11,1998-02-23,34,20-40,30-40,East,D,28,1995-08-04,2,3000,Midlands,Silver,1,16,3
0000165808,F,1957-08-25,1998-02-23,40,40-60,40-50,N West,D,32,1991-08-05,1,1500,North,Silver,1,6,7
0000168394,F,1962-06-06,1998-02-23,35,20-40,30-40,London,F,53,1994-03-10,1,0.009999999999999998,South East,Tin,1,9,4
0000170127,M,1947-04-18,1998-02-23,50,40-60,50-60,Yorkshire,B,10,1988-09-01,0,5000,North,Silver,0,7,10
0000181498,,1936-03-01,1998-02-23,62,60-80,60-70,N West,A,01,1969-09-18,0,3000,North,Silver,0,6,29
0000191396,M,1954-07-19,1998-02-23,,,,Yorkshire,F,51,1988-05-31,0,0.009999999999999998,North,Tin,0,7,10
0000192791,M,1937-09-18,1998-02-23,60,60-80,60-70,East,C,16,1993-11-15,0,8100,Midlands,Gold,0,9,5
0000197440,F,1948-03-16,1998-02-23,49,40-60,40-50,N West,B,14,1994-06-03,0,7600,North,Gold,0,8,4
0000202878,M,1940-06-07,1998-02-23,57,40-60,50-60,Midlands,F,53,1991-01-08,0,2000,Midlands,Silver,0,6,8
0000203289,U,1945-05-07,1998-02-23,52,40-60,50-60,Midlands,F,51,1992-03-06,0,23053.35,Midlands,Platinum,0,7,6
0000206032,M,1922-03-29,1998-02-23,75,60-80,70-80,C Scotland,F,52,1981-02-27,0,10000,Scottish,Gold,0,6,17
0000209732,,1942-12-07,1998-02-23,55,40-60,50-60,Midlands,E,37,1993-02-12,0,10000,Midlands,Gold,0,15,6
0000213241,F,1940-08-05,1998-02-23,57,40-60,50-60,,F,51,1997-03-20,0,12000,,Gold,0,5,1
0000215554,F,1945-09-04,1998-02-23,52,40-60,50-60,N West,C,22,1992-11-10,1,2500,North,Silver,1,8,6
0000217158,F,1923-12-13,1998-02-23,74,60-80,70-80,East,A,03,1994-01-25,0,6000,Midlands,Gold,0,12,5
0000223182,F,1918-10-01,1998-02-23,79,60-80,70-80,London,D,28,1994-02-16,0,5000,South East,Silver,0,9,5
0000234540,,1949-04-14,1998-02-23,48,40-60,40-50,Yorkshire,D,32,1994-02-26,0,420,North,Silver,0,6,4
0000239844,,1937-04-21,1998-02-23,60,60-80,60-70,London,E,41,1990-05-01,0,0.009999999999999998,South East,Tin,0,11,8
0000243051,F,1959-03-25,1998-02-23,38,20-40,30-40,N West,F,53,1989-03-17,1,50,North,Silver,1,3,9
0000248258,F,1939-03-14,1998-02-23,58,40-60,50-60,N West,B,10,1993-05-05,0,5000,North,Silver,0,9,5
0000249335,M,1945-10-31,1998-02-23,52,40-60,50-60,Wales & West,D,30,1994-07-18,0,1800,Midlands,Silver,0,4,4
0000252646,F,1953-02-08,1998-02-23,45,40-60,40-50,Yorkshire,F,47,1990-02-01,0,100.01,North,Silver,0,3,9
0000253839,F,1955-08-28,1998-02-23,42,40-60,40-50,N West,F,51,1994-08-11,0,2000,North,Silver,0,9,4
0000256366,U,1957-04-24,1998-02-23,40,40-60,40-50,Midlands,F,51,1988-05-16,0,50,Midlands,Silver,0,10,10
0000259802,,1943-03-02,1998-02-23,55,40-60,50-60,Midlands,D,35,1991-01-02,0,10100,Midlands,Gold,0,5,8
0000262684,,1920-09-09,1998-02-23,77,60-80,70-80,Midlands,C,23,1995-03-21,0,6000,Midlands,Gold,0,8,3
0000263419,F,1970-04-09,1998-02-23,27,20-40,20-30,London,C,19,1991-03-01,2,0.009999999999999998,South East,Tin,1,11,7
0000267236,F,1937-08-05,1998-02-23,60,60-80,60-70,N West,E,37,1990-05-02,0,0.009999999999999998,North,Tin,0,4,8
0000270962,U,1939-11-23,1998-02-23,58,40-60,50-60,London,A,04,1993-03-09,0,2500,South East,Silver,0,7,5
0000271101,,1943-11-11,1998-02-23,54,40-60,50-60,Midlands,B,05,,0,0.009999999999999998,Midlands,Tin,0,7,
0000274623,M,1955-06-23,1998-02-23,42,40-60,40-50,N West,D,32,1994-11-07,0,0.009999999999999998,North,Tin,0,7,4
0000275700,F,1961-04-25,1998-02-23,36,20-40,30-40,,F,48,1990-02-22,1,1000,,Silver,1,10,9
0000276871,F,1958-03-09,1998-02-23,,,,London,E,41,1997-11-21,1,5500,South East,Gold,1,6,1
0000277010,F,1940-06-21,1998-02-23,57,40-60,50-60,London,D,31,1993-12-13,0,0.009999999999999998,South East,Tin,0,4,5
0000278661,F,1925-09-03,1998-02-23,72,60-80,70-80,Midlands,C,18,1990-06-21,0,11105.32,Midlands,Gold,0,10,8
0000280895,F,1965-05-07,1998-02-23,,,,East,C,17,1992-04-27,1,0.009999999999999998,Midlands,Tin,1,10,6
0000282057,F,1961-03-03,1998-02-23,37,20-40,30-40,N West,F,51,1993-11-13,0,0.009999999999999998,North,Tin,0,7,5
0000285846,F,1921-06-12,1998-02-23,76,60-80,70-80,East,F,51,1991-02-05,1,2000,Midlands,Silver,1,9,8
0000287628,F,1952-11-01,1998-02-23,45,40-60,40-50,N West,D,34,1993-10-04,0,0.009999999999999998,North,Tin,0,6,5
0000288748,F,1946-09-16,1998-02-23,,,,S & S East,C,19,1990-06-01,0,10000,South East,Gold,0,14,8
0000290890,M,1946-10-27,1998-02-23,51,40-60,50-60,London,F,48,1989-12-01,0,0.019999999999999997,South East,Silver,0,,9
0000293083,,1937-01-11,1998-02-23,61,60-80,60-70,S & S East,B,12,1996-03-13,0,500,South East,Silver,0,15,2
0000293555,F,1936-04-17,1998-02-23,61,60-80,60-70,N Scot,B,11,1997-11-04,0,4000,Scottish,Silver,0,12,1
0000295620,M,1950-10-28,1998-02-23,47,40-60,40-50,Ulster,,,1994-02-14,0,0.009999999999999998,Midlands,Tin,0,9,5
0000297194,U,1945-07-11,1998-02-23,52,40-60,50-60,East,F,50,1990-04-01,0,0.009999999999999998,Midlands,Tin,0,8,8
0000300845,U,1957-05-04,1998-02-23,40,40-60,40-50,Midlands,E,38,1997-07-03,0,1000,Midlands,Silver,0,8,1
0000301175,F,1942-02-15,1998-02-23,56,40-60,50-60,Midlands,D,34,1990-02-24,0,0.009999999999999998,Midlands,Tin,0,5,9
0000301981,F,1946-08-08,1998-02-23,51,40-60,50-60,N West,F,47,1990-07-01,0,9000.01,North,Gold,0,8,8
0000310786,F,1947-04-03,1998-02-23,50,40-60,50-60,London,C,24,1996-03-26,0,12000,South East,Gold,0,9,2
0000312169,,1951-03-29,1998-02-23,46,40-60,40-50,N West,E,38,1993-11-26,0,0.009999999999999998,North,Tin,0,4,5
0000312762,F,1956-09-28,1998-02-23,41,40-60,40-50,S & S East,B,08,1991-12-19,1,1675,South East,Silver,1,8,7
0000315559,M,1937-12-21,1998-02-23,60,60-80,60-70,London,B,10,1990-03-01,0,100.01,South East,Silver,0,8,8
0000315788,F,1927-10-16,1998-02-23,70,60-80,70-80,S & S East,B,15,1991-01-07,0,2250,South East,Silver,0,10,8
0000316350,F,1947-08-26,1998-02-23,50,40-60,50-60,London,D,28,1990-02-01,1,0.009999999999999998,South East,Tin,1,9,9
0000317640,F,1960-10-06,1998-02-23,37,20-40,30-40,Midlands,F,49,1990-05-01,1,0.009999999999999998,Midlands,Tin,1,15,8
0000317950,F,1923-04-13,1998-02-23,74,60-80,70-80,London,C,18,1993-08-25,0,3000,South East,Silver,0,9,5
0000318922,,1936-03-17,1998-02-23,61,60-80,60-70,S West,E,37,1992-12-22,1,1200,South West,Silver,1,8,6
0000323039,,1948-03-30,1998-02-23,49,40-60,40-50,N West,A,04,1995-09-12,0,4000,North,Silver,0,8,3
0000324469,F,1941-01-25,1998-02-23,,,,S & S East,D,34,1990-05-01,0,0.009999999999999998,South East,Tin,0,7,8
0000331341,M,1945-03-01,1998-02-23,53,40-60,50-60,C Scotland,B,11,1994-12-06,0,6000,Scottish,Gold,0,9,4
0000332658,F,1965-03-13,1998-02-23,,,,Midlands,D,34,1994-02-05,0,0.009999999999999998,Midlands,Tin,0,4,5
0000335606,U,1938-11-09,1998-02-23,59,40-60,50-60,Border,E,45,1991-08-12,0,2500,Scottish,Silver,0,,7
0000340146,,1934-04-21,1998-02-23,63,60-80,60-70,N West,B,12,1994-02-21,0,0.009999999999999998,North,Tin,0,7,5
0000342033,F,1946-05-24,1998-02-23,51,40-60,50-60,N West,D,32,1988-03-17,0,3026.6699999999996,North,Silver,0,7,10
0000343102,F,1936-02-26,1998-02-23,62,60-80,60-70,N West,D,27,1992-01-22,0,56053.35,North,Platinum,0,5,7
0000345474,F,1951-08-26,1998-02-23,46,40-60,40-50,S & S East,C,23,1988-07-06,0,0.09999999999999999,South East,Silver,0,3,10
0000345865,M,1958-09-15,1998-02-23,39,20-40,30-40,Yorkshire,E,38,1996-10-29,1,7500,North,Gold,1,10,2
0000346225,M,1945-01-22,1998-02-23,53,40-60,50-60,S & S East,E,36,1992-04-02,1,3000,South East,Silver,1,6,6
0000346403,,1958-02-26,1998-02-23,,,,Midlands,D,27,1994-01-20,0,0.009999999999999998,Midlands,Tin,0,10,5
0000347086,F,1949-09-24,1998-02-23,48,40-60,40-50,London,C,21,1994-04-07,0,5000,South East,Silver,0,7,4
0000347531,F,1936-01-30,1998-02-23,62,60-80,60-70,S & S East,B,12,1987-11-01,0,12808.95,South East,Gold,0,7,11
0000349291,M,1971-11-10,1998-02-23,26,20-40,20-30,London,B,12,1997-07-10,0,4000,South East,Silver,0,9,1
0000349739,F,1929-01-23,1998-02-23,,,,N East,E,41,1993-11-16,0,2500,North,Silver,0,7,5
0000351482,F,1954-04-25,1998-02-23,43,40-60,40-50,S West,E,41,1996-03-20,0,6000,South West,Gold,0,6,2
0000356425,F,1919-07-28,1998-02-23,78,60-80,70-80,Midlands,E,41,1993-04-08,0,6000,Midlands,Gold,0,7,5
0000356719,F,1931-02-08,1998-02-23,67,60-80,60-70,East,C,19,1996-02-02,0,12049.25,Midlands,Gold,0,3,3
0000357898,F,1952-10-12,1998-02-23,45,40-60,40-50,N West,D,27,1994-01-21,0,0.009999999999999998,North,Tin,0,2,5
0000358649,,1937-10-30,1998-02-23,60,60-80,60-70,C Scotland,D,32,1994-01-27,0,0.009999999999999998,Scottish,Tin,0,10,5
0000359955,F,1929-07-30,1998-02-23,68,60-80,60-70,London,E,44,1992-11-20,0,7500,South East,Gold,0,13,6
0000361283,U,1923-09-13,1998-02-23,74,60-80,70-80,S & S East,A,04,1995-12-11,0,20245.89,South East,Platinum,0,14,3
0000362468,M,1944-11-20,1998-02-23,53,40-60,50-60,Midlands,D,35,1990-06-01,0,0.009999999999999998,Midlands,Tin,0,5,8
0000369225,M,1946-10-18,1998-02-23,51,40-60,50-60,C Scotland,C,23,1990-06-19,0,420,Scottish,Silver,0,5,8
0000369780,F,1936-10-15,1998-02-23,,,,S & S East,A,04,1997-11-03,0,25000,South East,Platinum,0,9,1
0000370398,F,1946-04-17,1998-02-23,51,40-60,50-60,S & S East,F,52,1997-04-23,0,200,South East,Silver,0,6,1
0000370622,U,1947-01-19,1998-02-23,51,40-60,50-60,S & S East,A,04,1996-06-11,0,200,South East,Silver,0,5,2
0000371475,M,1962-02-20,1998-02-23,36,20-40,30-40,London,C,21,1994-04-21,0,0.009999999999999998,South East,Tin,0,11,4
0000374644,F,1935-01-07,1998-02-23,63,60-80,60-70,Wales & West,F,49,1996-04-02,0,6000,Midlands,Gold,0,8,2
0000375330,F,1928-04-25,1998-02-23,69,60-80,60-70,S & S East,C,16,1990-02-22,0,500,South East,Silver,0,8,9
0000376078,F,1957-10-10,1998-02-23,40,40-60,40-50,Midlands,D,32,1993-12-23,1,0.009999999999999998,Midlands,Tin,1,11,5
0000380113,F,1951-06-26,1998-02-23,46,40-60,40-50,Wales & West,E,45,1987-05-07,0,2165.75,Midlands,Silver,0,4,11
0000393347,M,1951-05-27,1998-02-23,46,40-60,40-50,S & S East,D,34,1990-03-14,0,0.009999999999999998,South East,Tin,0,,8
0000396192,F,1952-02-21,1998-02-23,46,40-60,40-50,S & S East,A,04,1987-06-03,1,2245,South East,Silver,1,8,11
0000397407,F,1959-07-04,1998-02-23,38,20-40,30-40,N West,D,35,1994-01-17,1,0.009999999999999998,North,Tin,1,9,5
0000397660,M,1930-08-14,1998-02-23,67,60-80,60-70,N West,F,52,1993-05-18,0,11000,North,Gold,0,4,5
0000400297,U,1924-10-16,1998-02-23,73,60-80,70-80,Yorkshire,F,53,1995-01-09,0,26000,North,Platinum,0,11,4
0000403768,F,1945-01-10,1998-02-23,53,40-60,50-60,Border,B,11,1991-01-14,0,9000,Scottish,Gold,0,5,8
0000407364,F,1942-12-29,1998-02-23,55,40-60,50-60,Midlands,E,37,1994-05-26,1,5000,Midlands,Silver,1,6,4
0000408964,F,1943-05-04,1998-02-23,54,40-60,50-60,London,A,04,1991-01-07,0,3000,South East,Silver,0,9,8
0000414832,M,1953-02-06,1998-02-23,45,40-60,40-50,London,F,52,1994-01-26,0,0.009999999999999998,South East,Tin,0,6,5
0000418943,M,1958-07-23,1998-02-23,39,20-40,30-40,,C,25,1994-07-18,1,0.009999999999999998,,Tin,1,10,4
0000421979,F,1940-02-07,1998-02-23,58,40-60,50-60,N West,E,38,1994-07-18,0,420,North,Silver,0,5,4
0000423211,F,1964-08-28,1998-02-23,33,20-40,30-40,N East,D,35,1994-02-12,1,0.009999999999999998,North,Tin,1,8,5
0000434671,M,1962-12-26,1998-02-23,35,20-40,30-40,London,D,27,1990-06-01,1,0.009999999999999998,South East,Tin,1,11,8
0000435961,M,1927-01-13,1998-02-23,71,60-80,70-80,Yorkshire,A,04,1986-03-12,0,6000,North,Gold,0,4,12
0000439088,M,1942-03-18,1998-02-23,55,40-60,50-60,Border,B,15,1994-08-02,0,0.009999999999999998,Scottish,Tin,0,10,4
0000442542,M,1940-07-08,1998-02-23,57,40-60,50-60,S West,D,27,1987-11-17,0,480,South West,Silver,0,,11
0000454702,M,1944-08-18,1998-02-23,53,40-60,50-60,London,B,05,1993-06-09,0,6871.12,South East,Gold,0,13,5
0000462705,F,1939-09-25,1998-02-23,58,40-60,50-60,London,E,44,1979-04-30,0,1500,South East,Silver,0,9,19
0000467812,M,1954-05-18,1998-02-23,43,40-60,40-50,Yorkshire,C,20,1993-09-14,0,0.009999999999999998,North,Tin,0,13,5
0000473596,F,1950-05-22,1998-02-23,47,40-60,40-50,London,D,32,1993-09-25,0,0.009999999999999998,South East,Tin,0,8,5
0000479403,M,1923-07-25,1998-02-23,74,60-80,70-80,S & S East,C,18,1996-05-08,0,6000,South East,Gold,0,4,2
0000481572,M,1948-04-29,1998-02-23,49,40-60,40-50,N East,E,38,1997-11-01,0,5000,North,Silver,0,10,1
0000486701,F,1939-05-03,1998-02-23,58,40-60,50-60,S & S East,D,27,1990-02-12,0,3000,South East,Silver,0,9,9
0000492566,F,1941-05-12,1998-02-23,56,40-60,50-60,Midlands,D,27,1990-06-01,0,0.009999999999999998,Midlands,Tin,0,8,8
0000498300,F,1950-04-24,1998-02-23,47,40-60,40-50,S & S East,B,14,1997-04-18,0,6000,South East,Gold,0,5,1
0000500100,F,1967-07-31,1998-02-23,30,20-40,30-40,Midlands,F,52,1997-05-30,1,100,Midlands,Silver,1,14,1
